nohup: ignoring input
Device: cuda
[NIHChestXrayDataset] Loaded 65102 images across 6 classes
  Class 0 (No Finding): 48299 images
  Class 1 (Atelectasis): 3369 images
  Class 2 (Cardiomegaly): 856 images
  Class 3 (Effusion): 3129 images
  Class 4 (Infiltration): 7769 images
  Class 5 (Mass): 1680 images
[NIHChestXrayDataset] Loaded 16264 images across 6 classes
  Class 0 (No Finding): 12113 images
  Class 1 (Atelectasis): 843 images
  Class 2 (Cardiomegaly): 238 images
  Class 3 (Effusion): 830 images
  Class 4 (Infiltration): 1782 images
  Class 5 (Mass): 458 images
  Class weights: ['0.22', '3.22', '12.68', '3.47', '1.40', '6.46']
[NIHChestXrayDataset] Loaded 65102 images across 6 classes
  Class 0 (No Finding): 48299 images
  Class 1 (Atelectasis): 3369 images
  Class 2 (Cardiomegaly): 856 images
  Class 3 (Effusion): 3129 images
  Class 4 (Infiltration): 7769 images
  Class 5 (Mass): 1680 images

==================================================
Training densenet121...
==================================================
  [resnet50] Epoch 81/100  AUC=0.7193  Acc=0.6829  BestAUC=0.7527
  [resnet50] Epoch 82/100  AUC=0.7187  Acc=0.6532  BestAUC=0.7527
  [resnet50] Epoch 83/100  AUC=0.7225  Acc=0.6725  BestAUC=0.7527
  [resnet50] Epoch 84/100  AUC=0.7215  Acc=0.6663  BestAUC=0.7527
  [resnet50] Epoch 85/100  AUC=0.7185  Acc=0.6785  BestAUC=0.7527
  [resnet50] Epoch 86/100  AUC=0.7202  Acc=0.6793  BestAUC=0.7527
  [resnet50] Epoch 87/100  AUC=0.7185  Acc=0.6825  BestAUC=0.7527
  [resnet50] Epoch 88/100  AUC=0.7214  Acc=0.6923  BestAUC=0.7527
  [resnet50] Epoch 89/100  AUC=0.7219  Acc=0.6909  BestAUC=0.7527
  [resnet50] Epoch 90/100  AUC=0.7186  Acc=0.6873  BestAUC=0.7527
  [resnet50] Epoch 91/100  AUC=0.7203  Acc=0.6955  BestAUC=0.7527
  [resnet50] Epoch 92/100  AUC=0.7197  Acc=0.6903  BestAUC=0.7527
  [resnet50] Epoch 93/100  AUC=0.7189  Acc=0.6922  BestAUC=0.7527
  [resnet50] Epoch 94/100  AUC=0.7183  Acc=0.6873  BestAUC=0.7527
  [resnet50] Epoch 95/100  AUC=0.7180  Acc=0.6946  BestAUC=0.7527
  [resnet50] Epoch 96/100  AUC=0.7188  Acc=0.6939  BestAUC=0.7527
  [resnet50] Epoch 97/100  AUC=0.7187  Acc=0.6926  BestAUC=0.7527
  [resnet50] Epoch 98/100  AUC=0.7179  Acc=0.6884  BestAUC=0.7527
  [resnet50] Epoch 99/100  AUC=0.7178  Acc=0.6913  BestAUC=0.7527
  [resnet50] Epoch 100/100  AUC=0.7183  Acc=0.6918  BestAUC=0.7527
  >> resnet50 Best AUC: 0.7527 at epoch 34

==================================================
Training vit_small...
==================================================
  [vit_small] Epoch 1/100  AUC=0.5562  Acc=0.4985  BestAUC=0.5562
  [vit_small] Epoch 2/100  AUC=0.5516  Acc=0.0732  BestAUC=0.5562
  [vit_small] Epoch 3/100  AUC=0.5451  Acc=0.3029  BestAUC=0.5562
  [vit_small] Epoch 4/100  AUC=0.5613  Acc=0.0679  BestAUC=0.5613
  [vit_small] Epoch 5/100  AUC=0.5643  Acc=0.0765  BestAUC=0.5643
  [vit_small] Epoch 6/100  AUC=0.5788  Acc=0.0716  BestAUC=0.5788
  [vit_small] Epoch 7/100  AUC=0.5748  Acc=0.2024  BestAUC=0.5788
  [vit_small] Epoch 8/100  AUC=0.5892  Acc=0.1277  BestAUC=0.5892
  [vit_small] Epoch 9/100  AUC=0.5967  Acc=0.4631  BestAUC=0.5967
  [vit_small] Epoch 10/100  AUC=0.5932  Acc=0.0711  BestAUC=0.5967
  [vit_small] Epoch 11/100  AUC=0.6101  Acc=0.2260  BestAUC=0.6101
  [vit_small] Epoch 12/100  AUC=0.6001  Acc=0.2479  BestAUC=0.6101
  [vit_small] Epoch 13/100  AUC=0.6118  Acc=0.1101  BestAUC=0.6118
  [vit_small] Epoch 14/100  AUC=0.6105  Acc=0.4775  BestAUC=0.6118
  [vit_small] Epoch 15/100  AUC=0.6071  Acc=0.3079  BestAUC=0.6118
  [vit_small] Epoch 16/100  AUC=0.6104  Acc=0.1602  BestAUC=0.6118
  [vit_small] Epoch 17/100  AUC=0.5991  Acc=0.1990  BestAUC=0.6118
  [vit_small] Epoch 18/100  AUC=0.6073  Acc=0.1884  BestAUC=0.6118
  [vit_small] Epoch 19/100  AUC=0.6172  Acc=0.0814  BestAUC=0.6172
  [vit_small] Epoch 20/100  AUC=0.6102  Acc=0.0631  BestAUC=0.6172
  [vit_small] Epoch 21/100  AUC=0.6074  Acc=0.3702  BestAUC=0.6172
  [vit_small] Epoch 22/100  AUC=0.5998  Acc=0.4956  BestAUC=0.6172
  [vit_small] Epoch 23/100  AUC=0.6139  Acc=0.3401  BestAUC=0.6172
  [vit_small] Epoch 24/100  AUC=0.6184  Acc=0.3518  BestAUC=0.6184
  [vit_small] Epoch 25/100  AUC=0.6061  Acc=0.1340  BestAUC=0.6184
  [vit_small] Epoch 26/100  AUC=0.6183  Acc=0.2161  BestAUC=0.6184
